"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J1";"BarrelJack_SwitchcraftConxall_RAPC10U_Horizontal";1;"Barrel_Jack";;;
2;"J2";"USB_Micro-AB_Molex_47590-0001";1;"USB_B_Micro";;;
3;"J6,J4,J5";"TerminalBlock_WAGO_236-104_1x04_P5.00mm_45Degree";3;"Screw_Terminal_01x04";;;
4;"A1,A3,A2";"Pololu_Breakout-16_15.2x20.3mm";3;"Pololu_Breakout_A4988";;;
5;"C8,C3,C2,C1,C4";"C_Radial_D4.0mm_H5.0mm_P1.50mm";5;"0.1uF";;;
6;"C5,C7,C6";"CP_Radial_D5.0mm_P2.50mm";3;"100uF";;;
7;"C9";"C_Radial_D4.0mm_H5.0mm_P1.50mm";1;"3uF";;;
8;"U1";"ESP32-WROOM-32";1;"ESP32-WROOM-32";;;
9;"U3";"SOIC-8_3.9x4.9mm_P1.27mm";1;"CH330N";;;
10;"U4";"Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias";1;"DRV8871DDA";;;
11;"F1";"Fuseholder_TR5_Littelfuse_No560_No460";1;"Fuse";;;
12;"J7";"TerminalBlock_Philmore_TB132_1x02_P5.00mm_Horizontal";1;"Screw_Terminal_01x02";;;
13;"J3";"microSD_HC_Molex_47219-2001";1;"Micro_SD_Card_Det1";;;
14;"U2";"Converter_DCDC_Murata_OKI-78SR_Vertical";1;"OKI-78SR-3.3_1.5-W36-C";;;
15;"D1";"D_T-1_P12.70mm_Horizontal";1;"D";;;
