Designator,Mid X,Mid Y,Rotation,Layer
A1,161.3,-81.915,180.0,top
A2,161.860225,-57.315,180.0,top
A3,161.3,-104.775,180.0,top
C1,114.23,-71.755,180.0,top
C2,133.35,-103.62,90.0,top
C3,133.8,-42.025,90.0,top
C4,133.8,-35.445,270.0,top
C5,172.72,-74.270112,270.0,top
C6,172.72,-48.870112,270.0,top
C7,172.72,-97.130112,270.0,top
C8,163.31,-136.525,0.0,top
C9,129.54,-112.28,90.0,top
D1,132.08,-91.44,270.0,top
F1,121.92,-113.03,90.0,top
J1,121.92,-136.6,90.0,top
J2,141.42,-28.575,180.0,top
J3,120.125,-38.375225,0.0,top
J4,184.88,-82.995,90.0,top
J5,185.42,-56.515,90.0,top
J6,184.88,-107.045,90.0,top
J7,176.83,-130.135,90.0,top
U1,121.28,-57.665225,90.0,top
U2,124.465,-100.585,0.0,top
U4,160.67,-130.175,0.0,top
U5,141.605,-39.37,90.0,top
