Designator,Footprint,Quantity,Value,LCSC Part #
"A1, A2, A3",Pololu_Breakout-16_15.2x20.3mm,3,Pololu_Breakout_A4988,
"C1, C2, C3, C4, C8",C_Radial_D4.0mm_H5.0mm_P1.50mm,5,0.1uF,
"C5, C6, C7",CP_Radial_D5.0mm_P2.50mm,3,100uF,
C9,C_Radial_D4.0mm_H5.0mm_P1.50mm,1,3uF,
D1,D_T-1_P12.70mm_Horizontal,1,D,
F1,Fuseholder_TR5_Littelfuse_No560_No460,1,Fuse,
J1,BarrelJack_SwitchcraftConxall_RAPC10U_Horizontal,1,Barrel_Jack,
J2,USB_Micro-AB_Molex_47590-0001,1,USB_B_Micro,
J3,microSD_HC_Molex_47219-2001,1,Micro_SD_Card_Det1,
"J4, J5, J6",TerminalBlock_WAGO_236-104_1x04_P5.00mm_45Degree,3,Screw_Terminal_01x04,
J7,TerminalBlock_Philmore_TB132_1x02_P5.00mm_Horizontal,1,Screw_Terminal_01x02,
U1,ESP32-WROOM-32,1,ESP32-WROOM-32,
U2,Converter_DCDC_Murata_OKI-78SR_Vertical,1,OKI-78SR-3.3_1.5-W36-C,
U4,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,1,DRV8871DDA,
U5,SOP-8_3.9x4.9mm_P1.27mm,1,CH340N,
